name,html_name,weapon,skin,condition,weapon_type,quality,category,name_color,sell_listings,sell_price,sell_price_text
CZ75-Auto | Framework (Minimal Wear),CZ75-Auto%20%7C%20Framework%20%28Minimal%20Wear%29,CZ75-Auto,Framework,Minimal Wear,Pistol,Consumer Grade,Normal,D2D2D2,465,11,$0.11 
CZ75-Auto | Framework (Well-Worn),CZ75-Auto%20%7C%20Framework%20%28Well-Worn%29,CZ75-Auto,Framework,Well-Worn,Pistol,Consumer Grade,Normal,D2D2D2,175,10,$0.10 
CZ75-Auto | Green Plaid (Battle-Scarred),CZ75-Auto%20%7C%20Green%20Plaid%20%28Battle-Scarred%29,CZ75-Auto,Green Plaid,Battle-Scarred,Pistol,Consumer Grade,Normal,D2D2D2,47,161,$1.61 
CZ75-Auto | Green Plaid (Factory New),CZ75-Auto%20%7C%20Green%20Plaid%20%28Factory%20New%29,CZ75-Auto,Green Plaid,Factory New,Pistol,Consumer Grade,Normal,D2D2D2,70,179,$1.79 
CZ75-Auto | Green Plaid (Field-Tested),CZ75-Auto%20%7C%20Green%20Plaid%20%28Field-Tested%29,CZ75-Auto,Green Plaid,Field-Tested,Pistol,Consumer Grade,Normal,D2D2D2,46,109,$1.09 
CZ75-Auto | Green Plaid (Minimal Wear),CZ75-Auto%20%7C%20Green%20Plaid%20%28Minimal%20Wear%29,CZ75-Auto,Green Plaid,Minimal Wear,Pistol,Consumer Grade,Normal,D2D2D2,75,121,$1.21 
CZ75-Auto | Green Plaid (Well-Worn),CZ75-Auto%20%7C%20Green%20Plaid%20%28Well-Worn%29,CZ75-Auto,Green Plaid,Well-Worn,Pistol,Consumer Grade,Normal,D2D2D2,48,301,$3.01 
CZ75-Auto | Hexane (Factory New),CZ75-Auto%20%7C%20Hexane%20%28Factory%20New%29,CZ75-Auto,Hexane,Factory New,Pistol,Mil-Spec Grade,Normal,D2D2D2,129,237,$2.37 
CZ75-Auto | Hexane (Field-Tested),CZ75-Auto%20%7C%20Hexane%20%28Field-Tested%29,CZ75-Auto,Hexane,Field-Tested,Pistol,Mil-Spec Grade,Normal,D2D2D2,145,82,$0.82 
CZ75-Auto | Hexane (Minimal Wear),CZ75-Auto%20%7C%20Hexane%20%28Minimal%20Wear%29,CZ75-Auto,Hexane,Minimal Wear,Pistol,Mil-Spec Grade,Normal,D2D2D2,122,105,$1.05 
CZ75-Auto | Hexane (Well-Worn),CZ75-Auto%20%7C%20Hexane%20%28Well-Worn%29,CZ75-Auto,Hexane,Well-Worn,Pistol,Mil-Spec Grade,Normal,D2D2D2,27,98,$0.98 
CZ75-Auto | Imprint (Battle-Scarred),CZ75-Auto%20%7C%20Imprint%20%28Battle-Scarred%29,CZ75-Auto,Imprint,Battle-Scarred,Pistol,Mil-Spec Grade,Normal,D2D2D2,708,7,$0.07 
CZ75-Auto | Imprint (Factory New),CZ75-Auto%20%7C%20Imprint%20%28Factory%20New%29,CZ75-Auto,Imprint,Factory New,Pistol,Mil-Spec Grade,Normal,D2D2D2,164,24,$0.24 
CZ75-Auto | Imprint (Field-Tested),CZ75-Auto%20%7C%20Imprint%20%28Field-Tested%29,CZ75-Auto,Imprint,Field-Tested,Pistol,Mil-Spec Grade,Normal,D2D2D2,2103,7,$0.07 
CZ75-Auto | Imprint (Minimal Wear),CZ75-Auto%20%7C%20Imprint%20%28Minimal%20Wear%29,CZ75-Auto,Imprint,Minimal Wear,Pistol,Mil-Spec Grade,Normal,D2D2D2,1108,9,$0.09 
CZ75-Auto | Imprint (Well-Worn),CZ75-Auto%20%7C%20Imprint%20%28Well-Worn%29,CZ75-Auto,Imprint,Well-Worn,Pistol,Mil-Spec Grade,Normal,D2D2D2,1281,7,$0.07 
CZ75-Auto | Indigo (Battle-Scarred),CZ75-Auto%20%7C%20Indigo%20%28Battle-Scarred%29,CZ75-Auto,Indigo,Battle-Scarred,Pistol,Consumer Grade,Normal,D2D2D2,158,55,$0.55 
CZ75-Auto | Indigo (Factory New),CZ75-Auto%20%7C%20Indigo%20%28Factory%20New%29,CZ75-Auto,Indigo,Factory New,Pistol,Consumer Grade,Normal,D2D2D2,30,239,$2.39 
CZ75-Auto | Indigo (Field-Tested),CZ75-Auto%20%7C%20Indigo%20%28Field-Tested%29,CZ75-Auto,Indigo,Field-Tested,Pistol,Consumer Grade,Normal,D2D2D2,209,70,$0.70 
CZ75-Auto | Indigo (Minimal Wear),CZ75-Auto%20%7C%20Indigo%20%28Minimal%20Wear%29,CZ75-Auto,Indigo,Minimal Wear,Pistol,Consumer Grade,Normal,D2D2D2,110,88,$0.88 
CZ75-Auto | Indigo (Well-Worn),CZ75-Auto%20%7C%20Indigo%20%28Well-Worn%29,CZ75-Auto,Indigo,Well-Worn,Pistol,Consumer Grade,Normal,D2D2D2,132,62,$0.62 
CZ75-Auto | Jungle Dashed (Battle-Scarred),CZ75-Auto%20%7C%20Jungle%20Dashed%20%28Battle-Scarred%29,CZ75-Auto,Jungle Dashed,Battle-Scarred,Pistol,Consumer Grade,Normal,D2D2D2,3502,6,$0.06 
CZ75-Auto | Jungle Dashed (Factory New),CZ75-Auto%20%7C%20Jungle%20Dashed%20%28Factory%20New%29,CZ75-Auto,Jungle Dashed,Factory New,Pistol,Consumer Grade,Normal,D2D2D2,220,23,$0.23 
CZ75-Auto | Jungle Dashed (Field-Tested),CZ75-Auto%20%7C%20Jungle%20Dashed%20%28Field-Tested%29,CZ75-Auto,Jungle Dashed,Field-Tested,Pistol,Consumer Grade,Normal,D2D2D2,13720,6,$0.06 
CZ75-Auto | Jungle Dashed (Minimal Wear),CZ75-Auto%20%7C%20Jungle%20Dashed%20%28Minimal%20Wear%29,CZ75-Auto,Jungle Dashed,Minimal Wear,Pistol,Consumer Grade,Normal,D2D2D2,1181,6,$0.06 
CZ75-Auto | Jungle Dashed (Well-Worn),CZ75-Auto%20%7C%20Jungle%20Dashed%20%28Well-Worn%29,CZ75-Auto,Jungle Dashed,Well-Worn,Pistol,Consumer Grade,Normal,D2D2D2,1397,7,$0.07 
CZ75-Auto | Midnight Palm (Battle-Scarred),CZ75-Auto%20%7C%20Midnight%20Palm%20%28Battle-Scarred%29,CZ75-Auto,Midnight Palm,Battle-Scarred,Pistol,Industrial Grade,Normal,D2D2D2,118,41,$0.41 
CZ75-Auto | Midnight Palm (Factory New),CZ75-Auto%20%7C%20Midnight%20Palm%20%28Factory%20New%29,CZ75-Auto,Midnight Palm,Factory New,Pistol,Industrial Grade,Normal,D2D2D2,763,46,$0.46 
CZ75-Auto | Midnight Palm (Field-Tested),CZ75-Auto%20%7C%20Midnight%20Palm%20%28Field-Tested%29,CZ75-Auto,Midnight Palm,Field-Tested,Pistol,Industrial Grade,Normal,D2D2D2,666,42,$0.42 
CZ75-Auto | Midnight Palm (Minimal Wear),CZ75-Auto%20%7C%20Midnight%20Palm%20%28Minimal%20Wear%29,CZ75-Auto,Midnight Palm,Minimal Wear,Pistol,Industrial Grade,Normal,D2D2D2,984,43,$0.43 
CZ75-Auto | Midnight Palm (Well-Worn),CZ75-Auto%20%7C%20Midnight%20Palm%20%28Well-Worn%29,CZ75-Auto,Midnight Palm,Well-Worn,Pistol,Industrial Grade,Normal,D2D2D2,173,47,$0.47 
CZ75-Auto | Nitro (Battle-Scarred),CZ75-Auto%20%7C%20Nitro%20%28Battle-Scarred%29,CZ75-Auto,Nitro,Battle-Scarred,Pistol,Mil-Spec Grade,Normal,D2D2D2,11,842,$8.42 
CZ75-Auto | Nitro (Factory New),CZ75-Auto%20%7C%20Nitro%20%28Factory%20New%29,CZ75-Auto,Nitro,Factory New,Pistol,Mil-Spec Grade,Normal,D2D2D2,6,2645,$26.45 
CZ75-Auto | Nitro (Field-Tested),CZ75-Auto%20%7C%20Nitro%20%28Field-Tested%29,CZ75-Auto,Nitro,Field-Tested,Pistol,Mil-Spec Grade,Normal,D2D2D2,28,479,$4.79 
CZ75-Auto | Nitro (Minimal Wear),CZ75-Auto%20%7C%20Nitro%20%28Minimal%20Wear%29,CZ75-Auto,Nitro,Minimal Wear,Pistol,Mil-Spec Grade,Normal,D2D2D2,30,615,$6.15 
CZ75-Auto | Nitro (Well-Worn),CZ75-Auto%20%7C%20Nitro%20%28Well-Worn%29,CZ75-Auto,Nitro,Well-Worn,Pistol,Mil-Spec Grade,Normal,D2D2D2,18,510,$5.10 
CZ75-Auto | Poison Dart (Battle-Scarred),CZ75-Auto%20%7C%20Poison%20Dart%20%28Battle-Scarred%29,CZ75-Auto,Poison Dart,Battle-Scarred,Pistol,Mil-Spec Grade,Normal,D2D2D2,33,161,$1.61 
CZ75-Auto | Poison Dart (Factory New),CZ75-Auto%20%7C%20Poison%20Dart%20%28Factory%20New%29,CZ75-Auto,Poison Dart,Factory New,Pistol,Mil-Spec Grade,Normal,D2D2D2,46,386,$3.86 
CZ75-Auto | Poison Dart (Field-Tested),CZ75-Auto%20%7C%20Poison%20Dart%20%28Field-Tested%29,CZ75-Auto,Poison Dart,Field-Tested,Pistol,Mil-Spec Grade,Normal,D2D2D2,80,80,$0.80 
CZ75-Auto | Poison Dart (Minimal Wear),CZ75-Auto%20%7C%20Poison%20Dart%20%28Minimal%20Wear%29,CZ75-Auto,Poison Dart,Minimal Wear,Pistol,Mil-Spec Grade,Normal,D2D2D2,89,123,$1.23 
CZ75-Auto | Poison Dart (Well-Worn),CZ75-Auto%20%7C%20Poison%20Dart%20%28Well-Worn%29,CZ75-Auto,Poison Dart,Well-Worn,Pistol,Mil-Spec Grade,Normal,D2D2D2,13,1794,$17.94 
CZ75-Auto | Pole Position (Battle-Scarred),CZ75-Auto%20%7C%20Pole%20Position%20%28Battle-Scarred%29,CZ75-Auto,Pole Position,Battle-Scarred,Pistol,Restricted,Normal,D2D2D2,174,26,$0.26 
CZ75-Auto | Pole Position (Factory New),CZ75-Auto%20%7C%20Pole%20Position%20%28Factory%20New%29,CZ75-Auto,Pole Position,Factory New,Pistol,Restricted,Normal,D2D2D2,134,130,$1.30 
CZ75-Auto | Pole Position (Field-Tested),CZ75-Auto%20%7C%20Pole%20Position%20%28Field-Tested%29,CZ75-Auto,Pole Position,Field-Tested,Pistol,Restricted,Normal,D2D2D2,629,27,$0.27 
CZ75-Auto | Pole Position (Minimal Wear),CZ75-Auto%20%7C%20Pole%20Position%20%28Minimal%20Wear%29,CZ75-Auto,Pole Position,Minimal Wear,Pistol,Restricted,Normal,D2D2D2,283,58,$0.58 
CZ75-Auto | Pole Position (Well-Worn),CZ75-Auto%20%7C%20Pole%20Position%20%28Well-Worn%29,CZ75-Auto,Pole Position,Well-Worn,Pistol,Restricted,Normal,D2D2D2,146,31,$0.31 
CZ75-Auto | Polymer (Battle-Scarred),CZ75-Auto%20%7C%20Polymer%20%28Battle-Scarred%29,CZ75-Auto,Polymer,Battle-Scarred,Pistol,Mil-Spec Grade,Normal,D2D2D2,170,12,$0.12 
CZ75-Auto | Polymer (Factory New),CZ75-Auto%20%7C%20Polymer%20%28Factory%20New%29,CZ75-Auto,Polymer,Factory New,Pistol,Mil-Spec Grade,Normal,D2D2D2,546,24,$0.24 
CZ75-Auto | Polymer (Field-Tested),CZ75-Auto%20%7C%20Polymer%20%28Field-Tested%29,CZ75-Auto,Polymer,Field-Tested,Pistol,Mil-Spec Grade,Normal,D2D2D2,1554,10,$0.10 
CZ75-Auto | Polymer (Minimal Wear),CZ75-Auto%20%7C%20Polymer%20%28Minimal%20Wear%29,CZ75-Auto,Polymer,Minimal Wear,Pistol,Mil-Spec Grade,Normal,D2D2D2,564,13,$0.13 
CZ75-Auto | Polymer (Well-Worn),CZ75-Auto%20%7C%20Polymer%20%28Well-Worn%29,CZ75-Auto,Polymer,Well-Worn,Pistol,Mil-Spec Grade,Normal,D2D2D2,388,12,$0.12 
CZ75-Auto | Red Astor (Battle-Scarred),CZ75-Auto%20%7C%20Red%20Astor%20%28Battle-Scarred%29,CZ75-Auto,Red Astor,Battle-Scarred,Pistol,Restricted,Normal,D2D2D2,616,25,$0.25 
CZ75-Auto | Red Astor (Factory New),CZ75-Auto%20%7C%20Red%20Astor%20%28Factory%20New%29,CZ75-Auto,Red Astor,Factory New,Pistol,Restricted,Normal,D2D2D2,107,111,$1.11 
CZ75-Auto | Red Astor (Field-Tested),CZ75-Auto%20%7C%20Red%20Astor%20%28Field-Tested%29,CZ75-Auto,Red Astor,Field-Tested,Pistol,Restricted,Normal,D2D2D2,1225,26,$0.26 
CZ75-Auto | Red Astor (Minimal Wear),CZ75-Auto%20%7C%20Red%20Astor%20%28Minimal%20Wear%29,CZ75-Auto,Red Astor,Minimal Wear,Pistol,Restricted,Normal,D2D2D2,176,51,$0.51 
CZ75-Auto | Red Astor (Well-Worn),CZ75-Auto%20%7C%20Red%20Astor%20%28Well-Worn%29,CZ75-Auto,Red Astor,Well-Worn,Pistol,Restricted,Normal,D2D2D2,587,25,$0.25 
CZ75-Auto | Silver (Factory New),CZ75-Auto%20%7C%20Silver%20%28Factory%20New%29,CZ75-Auto,Silver,Factory New,Pistol,Industrial Grade,Normal,D2D2D2,463,95,$0.95 
CZ75-Auto | Silver (Minimal Wear),CZ75-Auto%20%7C%20Silver%20%28Minimal%20Wear%29,CZ75-Auto,Silver,Minimal Wear,Pistol,Industrial Grade,Normal,D2D2D2,58,202,$2.02 
CZ75-Auto | Syndicate (Battle-Scarred),CZ75-Auto%20%7C%20Syndicate%20%28Battle-Scarred%29,CZ75-Auto,Syndicate,Battle-Scarred,Pistol,Restricted,Normal,D2D2D2,158,41,$0.41 
CZ75-Auto | Syndicate (Factory New),CZ75-Auto%20%7C%20Syndicate%20%28Factory%20New%29,CZ75-Auto,Syndicate,Factory New,Pistol,Restricted,Normal,D2D2D2,207,308,$3.08 
CZ75-Auto | Syndicate (Field-Tested),CZ75-Auto%20%7C%20Syndicate%20%28Field-Tested%29,CZ75-Auto,Syndicate,Field-Tested,Pistol,Restricted,Normal,D2D2D2,395,50,$0.50 
CZ75-Auto | Syndicate (Minimal Wear),CZ75-Auto%20%7C%20Syndicate%20%28Minimal%20Wear%29,CZ75-Auto,Syndicate,Minimal Wear,Pistol,Restricted,Normal,D2D2D2,176,115,$1.15 
CZ75-Auto | Syndicate (Well-Worn),CZ75-Auto%20%7C%20Syndicate%20%28Well-Worn%29,CZ75-Auto,Syndicate,Well-Worn,Pistol,Restricted,Normal,D2D2D2,110,46,$0.46 
CZ75-Auto | Tacticat (Battle-Scarred),CZ75-Auto%20%7C%20Tacticat%20%28Battle-Scarred%29,CZ75-Auto,Tacticat,Battle-Scarred,Pistol,Restricted,Normal,D2D2D2,272,32,$0.32 
CZ75-Auto | Tacticat (Factory New),CZ75-Auto%20%7C%20Tacticat%20%28Factory%20New%29,CZ75-Auto,Tacticat,Factory New,Pistol,Restricted,Normal,D2D2D2,134,106,$1.06 
CZ75-Auto | Tacticat (Field-Tested),CZ75-Auto%20%7C%20Tacticat%20%28Field-Tested%29,CZ75-Auto,Tacticat,Field-Tested,Pistol,Restricted,Normal,D2D2D2,1521,35,$0.35 
